entity_id,state,last_changed
sensor.balkonkraftwerk_power,0,2024-11-05T05:00:00.000Z
sensor.balkonkraftwerk_power,11.500153974833333,2024-11-05T06:00:00.000Z
sensor.balkonkraftwerk_power,30.018040194666668,2024-11-05T07:00:00.000Z
sensor.balkonkraftwerk_power,37.04291362111111,2024-11-05T08:00:00.000Z
sensor.balkonkraftwerk_power,52.31484987227778,2024-11-05T09:00:00.000Z
sensor.balkonkraftwerk_power,53.324784577555555,2024-11-05T10:00:00.000Z
sensor.balkonkraftwerk_power,36.53312934172222,2024-11-05T11:00:00.000Z
sensor.balkonkraftwerk_power,37.37582145002778,2024-11-05T12:00:00.000Z
sensor.balkonkraftwerk_power,18.597493502555555,2024-11-05T13:00:00.000Z
sensor.balkonkraftwerk_power,11.077415461694445,2024-11-05T14:00:00.000Z
sensor.balkonkraftwerk_power,3.2765212541818185,2024-11-05T15:00:00.000Z
sensor.balkonkraftwerk_power,2.7965157337499997,2024-11-06T06:00:00.000Z
sensor.balkonkraftwerk_power,12.355908752972221,2024-11-06T07:00:00.000Z
sensor.balkonkraftwerk_power,23.167827855194446,2024-11-06T08:00:00.000Z
sensor.balkonkraftwerk_power,33.13758854297222,2024-11-06T09:00:00.000Z
sensor.balkonkraftwerk_power,39.01390548947222,2024-11-06T10:00:00.000Z
sensor.balkonkraftwerk_power,34.434431278,2024-11-06T11:00:00.000Z
sensor.balkonkraftwerk_power,26.516638027,2024-11-06T12:00:00.000Z
sensor.balkonkraftwerk_power,17.051088694194444,2024-11-06T13:00:00.000Z
sensor.balkonkraftwerk_power,8.304914961944444,2024-11-06T14:00:00.000Z
sensor.balkonkraftwerk_power,0.8625733502424243,2024-11-06T15:00:00.000Z
sensor.balkonkraftwerk_power,2.093866845047619,2024-11-07T06:00:00.000Z
sensor.balkonkraftwerk_power,12.416206427444443,2024-11-07T07:00:00.000Z
sensor.balkonkraftwerk_power,22.499176457805557,2024-11-07T08:00:00.000Z
sensor.balkonkraftwerk_power,29.98100412925,2024-11-07T09:00:00.000Z
sensor.balkonkraftwerk_power,45.27333962663889,2024-11-07T10:00:00.000Z
sensor.balkonkraftwerk_power,48.333897359611115,2024-11-07T11:00:00.000Z
sensor.balkonkraftwerk_power,51.0483954681111,2024-11-07T12:00:00.000Z
sensor.balkonkraftwerk_power,33.802722828166665,2024-11-07T13:00:00.000Z
sensor.balkonkraftwerk_power,17.12091731411111,2024-11-07T14:00:00.000Z
sensor.balkonkraftwerk_power,3.0723919170666667,2024-11-07T15:00:00.000Z
sensor.balkonkraftwerk_power,2.5218065017142854,2024-11-08T06:00:00.000Z
sensor.balkonkraftwerk_power,8.05825025111111,2024-11-08T07:00:00.000Z
sensor.balkonkraftwerk_power,13.927910584638889,2024-11-08T08:00:00.000Z
sensor.balkonkraftwerk_power,16.134770336333332,2024-11-08T09:00:00.000Z
sensor.balkonkraftwerk_power,18.19413487197222,2024-11-08T10:00:00.000Z
sensor.balkonkraftwerk_power,19.13517285025,2024-11-08T11:00:00.000Z
sensor.balkonkraftwerk_power,16.154611296666666,2024-11-08T12:00:00.000Z
sensor.balkonkraftwerk_power,12.030277137388888,2024-11-08T13:00:00.000Z
sensor.balkonkraftwerk_power,5.462005337333333,2024-11-08T14:00:00.000Z
sensor.balkonkraftwerk_power,0.7531634401481482,2024-11-08T15:00:00.000Z
sensor.balkonkraftwerk_power,0,2024-11-08T19:00:00.000Z
sensor.balkonkraftwerk_power,0,2024-11-08T20:00:00.000Z
sensor.balkonkraftwerk_power,1.3815308200555556,2024-11-09T06:00:00.000Z
sensor.balkonkraftwerk_power,8.84878732,2024-11-09T07:00:00.000Z
sensor.balkonkraftwerk_power,19.486042225722223,2024-11-09T08:00:00.000Z
sensor.balkonkraftwerk_power,35.44502745175,2024-11-09T09:00:00.000Z
sensor.balkonkraftwerk_power,58.11517183408333,2024-11-09T10:00:00.000Z
sensor.balkonkraftwerk_power,54.775847914749995,2024-11-09T11:00:00.000Z
sensor.balkonkraftwerk_power,51.319475109555555,2024-11-09T12:00:00.000Z
sensor.balkonkraftwerk_power,42.500979832666665,2024-11-09T13:00:00.000Z
sensor.balkonkraftwerk_power,35.15184317991666,2024-11-09T14:00:00.000Z
sensor.balkonkraftwerk_power,11.400339585,2024-11-09T15:00:00.000Z
sensor.balkonkraftwerk_power,0,2024-11-09T16:00:00.000Z
sensor.balkonkraftwerk_power,3.0263018943333333,2024-11-10T06:00:00.000Z
sensor.balkonkraftwerk_power,14.037166144472222,2024-11-10T07:00:00.000Z
sensor.balkonkraftwerk_power,21.173001551734174,2024-11-10T08:00:00.000Z
sensor.balkonkraftwerk_power,28.89854239861545,2024-11-10T09:00:00.000Z
sensor.balkonkraftwerk_power,33.23686439552613,2024-11-10T10:00:00.000Z
sensor.balkonkraftwerk_power,28.78465927845806,2024-11-10T11:00:00.000Z
sensor.balkonkraftwerk_power,25.445667878051612,2024-11-10T12:00:00.000Z
sensor.balkonkraftwerk_power,17.316417831861113,2024-11-10T13:00:00.000Z
sensor.balkonkraftwerk_power,7.737373838361111,2024-11-10T14:00:00.000Z
sensor.balkonkraftwerk_power,0.7670798113666667,2024-11-10T15:00:00.000Z
sensor.balkonkraftwerk_power,2.0904475922,2024-11-11T06:00:00.000Z
sensor.balkonkraftwerk_power,10.528303178444444,2024-11-11T07:00:00.000Z
sensor.balkonkraftwerk_power,17.552692593055557,2024-11-11T08:00:00.000Z
sensor.balkonkraftwerk_power,20.809443230444444,2024-11-11T09:00:00.000Z
sensor.balkonkraftwerk_power,25.063954596861112,2024-11-11T10:00:00.000Z
sensor.balkonkraftwerk_power,20.970990917222224,2024-11-11T11:00:00.000Z
sensor.balkonkraftwerk_power,15.280816144444445,2024-11-11T12:00:00.000Z
sensor.balkonkraftwerk_power,11.26603174977778,2024-11-11T13:00:00.000Z
sensor.balkonkraftwerk_power,2.510350086444445,2024-11-11T14:00:00.000Z
sensor.balkonkraftwerk_power,0.00023818209523809525,2024-11-11T15:00:00.000Z
sensor.balkonkraftwerk_power,2.556458701814815,2024-11-12T06:00:00.000Z
sensor.balkonkraftwerk_power,14.022780245694447,2024-11-12T07:00:00.000Z
sensor.balkonkraftwerk_power,70.25729553086111,2024-11-12T08:00:00.000Z
sensor.balkonkraftwerk_power,221.62755861677775,2024-11-12T09:00:00.000Z
sensor.balkonkraftwerk_power,294.0131139969167,2024-11-12T10:00:00.000Z
sensor.balkonkraftwerk_power,197.99341281286112,2024-11-12T11:00:00.000Z
sensor.balkonkraftwerk_power,50.67661095027777,2024-11-12T12:00:00.000Z
sensor.balkonkraftwerk_power,32.873911295305554,2024-11-12T13:00:00.000Z
sensor.balkonkraftwerk_power,14.369897097249998,2024-11-12T14:00:00.000Z
sensor.balkonkraftwerk_power,1.7822842551,2024-11-12T15:00:00.000Z
sensor.balkonkraftwerk_power,0,2024-11-12T16:00:00.000Z
sensor.balkonkraftwerk_power,0,2024-11-12T17:00:00.000Z
sensor.balkonkraftwerk_power,0.4346046083333333,2024-11-13T06:00:00.000Z
sensor.balkonkraftwerk_power,5.412751641638889,2024-11-13T07:00:00.000Z
sensor.balkonkraftwerk_power,9.854861464361113,2024-11-13T08:00:00.000Z
sensor.balkonkraftwerk_power,24.37496454111111,2024-11-13T09:00:00.000Z
sensor.balkonkraftwerk_power,34.42327765727778,2024-11-13T10:00:00.000Z
sensor.balkonkraftwerk_power,38.30036447372222,2024-11-13T11:00:00.000Z
sensor.balkonkraftwerk_power,22.02366762433333,2024-11-13T12:00:00.000Z
sensor.balkonkraftwerk_power,13.55508603488889,2024-11-13T13:00:00.000Z
sensor.balkonkraftwerk_power,7.840334009611111,2024-11-13T14:00:00.000Z
sensor.balkonkraftwerk_power,0.8651848825555556,2024-11-13T15:00:00.000Z
sensor.balkonkraftwerk_power,0.8061126016,2024-11-14T06:00:00.000Z
sensor.balkonkraftwerk_power,6.765141047055555,2024-11-14T07:00:00.000Z
sensor.balkonkraftwerk_power,16.74652594866667,2024-11-14T08:00:00.000Z
sensor.balkonkraftwerk_power,29.556008115805554,2024-11-14T09:00:00.000Z
sensor.balkonkraftwerk_power,37.434904302805556,2024-11-14T10:00:00.000Z
sensor.balkonkraftwerk_power,29.699601247305562,2024-11-14T11:00:00.000Z
sensor.balkonkraftwerk_power,29.689321380277775,2024-11-14T12:00:00.000Z
sensor.balkonkraftwerk_power,21.904311040166665,2024-11-14T13:00:00.000Z
sensor.balkonkraftwerk_power,6.527974227166667,2024-11-14T14:00:00.000Z
sensor.balkonkraftwerk_power,0.001666622666666667,2024-11-14T15:00:00.000Z
sensor.balkonkraftwerk_power,1.7049215026666666,2024-11-15T06:00:00.000Z
sensor.balkonkraftwerk_power,9.745847248694444,2024-11-15T07:00:00.000Z
sensor.balkonkraftwerk_power,23.11810522886111,2024-11-15T08:00:00.000Z
sensor.balkonkraftwerk_power,47.18878948583333,2024-11-15T09:00:00.000Z
sensor.balkonkraftwerk_power,20.139825417194444,2024-11-15T10:00:00.000Z
sensor.balkonkraftwerk_power,29.063119522277777,2024-11-15T11:00:00.000Z
sensor.balkonkraftwerk_power,30.815596749888893,2024-11-15T12:00:00.000Z
sensor.balkonkraftwerk_power,17.567743539083335,2024-11-15T13:00:00.000Z
sensor.balkonkraftwerk_power,7.393989856694444,2024-11-15T14:00:00.000Z
sensor.balkonkraftwerk_power,0.8862311468518518,2024-11-15T15:00:00.000Z
sensor.balkonkraftwerk_power,9.13538448462963,2024-11-16T06:00:00.000Z
sensor.balkonkraftwerk_power,90.79286447044444,2024-11-16T07:00:00.000Z
sensor.balkonkraftwerk_power,378.5107274593889,2024-11-16T08:00:00.000Z
sensor.balkonkraftwerk_power,527.1240499850278,2024-11-16T09:00:00.000Z
sensor.balkonkraftwerk_power,558.3413636147222,2024-11-16T10:00:00.000Z
sensor.balkonkraftwerk_power,455.2225736987222,2024-11-16T11:00:00.000Z
sensor.balkonkraftwerk_power,130.17234130447224,2024-11-16T12:00:00.000Z
sensor.balkonkraftwerk_power,24.61744544961111,2024-11-16T13:00:00.000Z
sensor.balkonkraftwerk_power,12.438048774222223,2024-11-16T14:00:00.000Z
sensor.balkonkraftwerk_power,1.4592977084444443,2024-11-16T15:00:00.000Z
sensor.balkonkraftwerk_power,2.438539829066667,2024-11-17T06:00:00.000Z
sensor.balkonkraftwerk_power,16.792462255527777,2024-11-17T07:00:00.000Z
sensor.balkonkraftwerk_power,18.390102418583332,2024-11-17T08:00:00.000Z
sensor.balkonkraftwerk_power,24.138283335833336,2024-11-17T09:00:00.000Z
sensor.balkonkraftwerk_power,19.973386859083334,2024-11-17T10:00:00.000Z
sensor.balkonkraftwerk_power,17.06453974588889,2024-11-17T11:00:00.000Z
sensor.balkonkraftwerk_power,11.260974202361112,2024-11-17T12:00:00.000Z
sensor.balkonkraftwerk_power,5.721144402694445,2024-11-17T13:00:00.000Z
sensor.balkonkraftwerk_power,3.4582330164444444,2024-11-17T14:00:00.000Z
sensor.balkonkraftwerk_power,0.11753761946666666,2024-11-17T15:00:00.000Z
sensor.balkonkraftwerk_power,0,2024-11-18T06:00:00.000Z
sensor.balkonkraftwerk_power,0.0,2024-11-18T06:38:01.000Z
sensor.balkonkraftwerk_power,unavailable,2024-11-18T06:38:11.000Z
sensor.balkonkraftwerk_power,0.0,2024-11-18T06:43:51.126Z
sensor.balkonkraftwerk_power,unavailable,2024-11-18T06:44:01.127Z
sensor.balkonkraftwerk_power,0.0,2024-11-18T06:52:26.345Z
sensor.balkonkraftwerk_power,6.2,2024-11-18T07:17:46.364Z
sensor.balkonkraftwerk_power,6.3,2024-11-18T07:17:56.362Z
sensor.balkonkraftwerk_power,6.2,2024-11-18T07:18:06.367Z
sensor.balkonkraftwerk_power,6.1,2024-11-18T07:18:21.361Z
sensor.balkonkraftwerk_power,6.0,2024-11-18T07:18:26.361Z
sensor.balkonkraftwerk_power,5.9,2024-11-18T07:18:36.362Z
sensor.balkonkraftwerk_power,5.8,2024-11-18T07:18:41.362Z
sensor.balkonkraftwerk_power,5.7,2024-11-18T07:18:51.361Z
sensor.balkonkraftwerk_power,5.6,2024-11-18T07:18:56.361Z
sensor.balkonkraftwerk_power,5.5,2024-11-18T07:19:11.363Z
sensor.balkonkraftwerk_power,5.4,2024-11-18T07:19:21.363Z
sensor.balkonkraftwerk_power,5.3,2024-11-18T07:19:36.363Z
sensor.balkonkraftwerk_power,5.2,2024-11-18T07:19:46.362Z
sensor.balkonkraftwerk_power,5.1,2024-11-18T07:20:01.366Z
sensor.balkonkraftwerk_power,5.0,2024-11-18T07:20:11.363Z
sensor.balkonkraftwerk_power,4.9,2024-11-18T07:20:26.365Z
sensor.balkonkraftwerk_power,5.0,2024-11-18T07:20:31.362Z
sensor.balkonkraftwerk_power,5.1,2024-11-18T07:20:46.362Z
sensor.balkonkraftwerk_power,5.2,2024-11-18T07:20:56.364Z
sensor.balkonkraftwerk_power,5.1,2024-11-18T07:21:26.366Z
sensor.balkonkraftwerk_power,5.0,2024-11-18T07:21:36.364Z
sensor.balkonkraftwerk_power,4.9,2024-11-18T07:21:46.364Z
sensor.balkonkraftwerk_power,4.8,2024-11-18T07:22:41.364Z
