entity_id,state,last_changed
sensor.balkonkraftwerk_power,11.1,2024-11-28T07:31:18.475Z
sensor.balkonkraftwerk_power,11.4,2024-11-28T07:31:23.476Z
sensor.balkonkraftwerk_power,11.7,2024-11-28T07:31:28.477Z
sensor.balkonkraftwerk_power,12.0,2024-11-28T07:31:33.475Z
sensor.balkonkraftwerk_power,12.2,2024-11-28T07:31:38.475Z
sensor.balkonkraftwerk_power,12.5,2024-11-28T07:31:43.476Z
sensor.balkonkraftwerk_power,12.9,2024-11-28T07:31:48.474Z
sensor.balkonkraftwerk_power,13.2,2024-11-28T07:31:53.476Z
sensor.balkonkraftwerk_power,13.5,2024-11-28T07:31:58.480Z
sensor.balkonkraftwerk_power,13.7,2024-11-28T07:32:03.478Z
sensor.balkonkraftwerk_power,14.0,2024-11-28T07:32:08.475Z
sensor.balkonkraftwerk_power,14.3,2024-11-28T07:32:13.477Z
sensor.balkonkraftwerk_power,14.5,2024-11-28T07:32:18.477Z
sensor.balkonkraftwerk_power,14.7,2024-11-28T07:32:23.475Z
sensor.balkonkraftwerk_power,14.8,2024-11-28T07:32:28.478Z
sensor.balkonkraftwerk_power,14.9,2024-11-28T07:32:33.478Z
sensor.balkonkraftwerk_power,15.1,2024-11-28T07:32:38.477Z
sensor.balkonkraftwerk_power,15.2,2024-11-28T07:32:43.476Z
sensor.balkonkraftwerk_power,15.3,2024-11-28T07:32:48.476Z
sensor.balkonkraftwerk_power,15.4,2024-11-28T07:32:58.477Z
sensor.balkonkraftwerk_power,15.5,2024-11-28T07:33:08.478Z
sensor.balkonkraftwerk_power,15.4,2024-11-28T07:33:28.479Z
sensor.balkonkraftwerk_power,15.3,2024-11-28T07:33:38.477Z
sensor.balkonkraftwerk_power,15.2,2024-11-28T07:33:48.479Z
sensor.balkonkraftwerk_power,15.1,2024-11-28T07:33:58.481Z
sensor.balkonkraftwerk_power,15.2,2024-11-28T07:34:13.476Z
sensor.balkonkraftwerk_power,15.3,2024-11-28T07:34:23.478Z
sensor.balkonkraftwerk_power,15.4,2024-11-28T07:34:28.477Z
sensor.balkonkraftwerk_power,15.5,2024-11-28T07:34:33.480Z
sensor.balkonkraftwerk_power,15.6,2024-11-28T07:34:43.477Z
sensor.balkonkraftwerk_power,15.7,2024-11-28T07:34:53.478Z
sensor.balkonkraftwerk_power,15.6,2024-11-28T07:34:58.479Z
sensor.balkonkraftwerk_power,15.5,2024-11-28T07:35:18.478Z
sensor.balkonkraftwerk_power,15.4,2024-11-28T07:35:23.478Z
sensor.balkonkraftwerk_power,15.3,2024-11-28T07:35:33.479Z
sensor.balkonkraftwerk_power,15.2,2024-11-28T07:35:38.479Z
sensor.balkonkraftwerk_power,15.1,2024-11-28T07:35:43.480Z
sensor.balkonkraftwerk_power,15.0,2024-11-28T07:35:48.479Z
sensor.balkonkraftwerk_power,14.9,2024-11-28T07:35:53.483Z
sensor.balkonkraftwerk_power,14.8,2024-11-28T07:35:58.482Z
sensor.balkonkraftwerk_power,14.7,2024-11-28T07:36:03.483Z
sensor.balkonkraftwerk_power,14.6,2024-11-28T07:36:13.479Z
sensor.balkonkraftwerk_power,14.5,2024-11-28T07:36:18.479Z
sensor.balkonkraftwerk_power,14.6,2024-11-28T07:36:38.480Z
sensor.balkonkraftwerk_power,14.7,2024-11-28T07:36:53.480Z
sensor.balkonkraftwerk_power,14.8,2024-11-28T07:36:58.483Z
sensor.balkonkraftwerk_power,14.9,2024-11-28T07:37:08.479Z
sensor.balkonkraftwerk_power,15.0,2024-11-28T07:37:13.479Z
sensor.balkonkraftwerk_power,15.1,2024-11-28T07:37:18.482Z
sensor.balkonkraftwerk_power,15.2,2024-11-28T07:37:23.481Z
sensor.balkonkraftwerk_power,15.3,2024-11-28T07:37:28.479Z
sensor.balkonkraftwerk_power,15.4,2024-11-28T07:37:38.481Z
sensor.balkonkraftwerk_power,15.5,2024-11-28T07:37:43.482Z
sensor.balkonkraftwerk_power,15.6,2024-11-28T07:37:53.480Z
sensor.balkonkraftwerk_power,15.7,2024-11-28T07:37:58.482Z
sensor.balkonkraftwerk_power,15.8,2024-11-28T07:38:03.480Z
sensor.balkonkraftwerk_power,15.9,2024-11-28T07:38:08.481Z
sensor.balkonkraftwerk_power,16.0,2024-11-28T07:38:13.483Z
sensor.balkonkraftwerk_power,16.1,2024-11-28T07:38:18.481Z
sensor.balkonkraftwerk_power,16.2,2024-11-28T07:38:23.479Z
sensor.balkonkraftwerk_power,16.3,2024-11-28T07:38:28.484Z
sensor.balkonkraftwerk_power,16.4,2024-11-28T07:38:33.483Z
sensor.balkonkraftwerk_power,16.5,2024-11-28T07:38:38.482Z
sensor.balkonkraftwerk_power,16.6,2024-11-28T07:38:43.481Z
sensor.balkonkraftwerk_power,16.7,2024-11-28T07:38:48.481Z
sensor.balkonkraftwerk_power,16.8,2024-11-28T07:38:53.483Z
sensor.balkonkraftwerk_power,17.0,2024-11-28T07:38:58.480Z
sensor.balkonkraftwerk_power,17.1,2024-11-28T07:39:03.483Z
sensor.balkonkraftwerk_power,17.2,2024-11-28T07:39:08.481Z
sensor.balkonkraftwerk_power,17.4,2024-11-28T07:39:13.482Z
sensor.balkonkraftwerk_power,17.5,2024-11-28T07:39:18.483Z
sensor.balkonkraftwerk_power,17.6,2024-11-28T07:39:23.481Z
sensor.balkonkraftwerk_power,17.8,2024-11-28T07:39:28.483Z
sensor.balkonkraftwerk_power,18.0,2024-11-28T07:39:38.484Z
sensor.balkonkraftwerk_power,18.1,2024-11-28T07:39:43.482Z
sensor.balkonkraftwerk_power,18.2,2024-11-28T07:39:48.483Z
sensor.balkonkraftwerk_power,18.4,2024-11-28T07:39:53.484Z
sensor.balkonkraftwerk_power,18.5,2024-11-28T07:39:58.481Z
sensor.balkonkraftwerk_power,18.6,2024-11-28T07:40:03.483Z
sensor.balkonkraftwerk_power,18.7,2024-11-28T07:40:08.483Z
sensor.balkonkraftwerk_power,18.8,2024-11-28T07:40:13.481Z
sensor.balkonkraftwerk_power,18.9,2024-11-28T07:40:23.483Z
sensor.balkonkraftwerk_power,19.0,2024-11-28T07:40:28.482Z
sensor.balkonkraftwerk_power,18.9,2024-11-28T07:40:58.482Z
sensor.balkonkraftwerk_power,18.8,2024-11-28T07:41:08.486Z
sensor.balkonkraftwerk_power,18.7,2024-11-28T07:41:13.483Z
sensor.balkonkraftwerk_power,18.6,2024-11-28T07:41:18.483Z
